Year,DJF,JFM,FMA,MAM,AMJ,MJJ,JJA,JAS,ASO,SON,OND,NDJ
1981,"('-0.3', 'black')","('-0.5', 'black')","('-0.5', 'black')","('-0.4', 'black')","('-0.3', 'black')","('-0.3', 'black')","('-0.3', 'black')","('-0.2', 'black')","('-0.2', 'black')","('-0.1', 'black')","('-0.2', 'black')","('-0.1', 'black')"
1982,"('0.0', 'black')","('0.1', 'black')","('0.2', 'black')","('0.5', 'red')","('0.7', 'red')","('0.7', 'red')","('0.8', 'red')","('1.1', 'red')","('1.6', 'red')","('2.0', 'red')","('2.2', 'red')","('2.2', 'red')"
1983,"('2.2', 'red')","('1.9', 'red')","('1.5', 'red')","('1.3', 'red')","('1.1', 'red')","('0.7', 'red')","('0.3', 'black')","('-0.1', 'black')","('-0.5', 'blue')","('-0.8', 'blue')","('-1.0', 'blue')","('-0.9', 'blue')"
1984,"('-0.6', 'blue')","('-0.4', 'black')","('-0.3', 'black')","('-0.4', 'black')","('-0.5', 'black')","('-0.4', 'black')","('-0.3', 'black')","('-0.2', 'black')","('-0.2', 'black')","('-0.6', 'blue')","('-0.9', 'blue')","('-1.1', 'blue')"
1985,"('-1.0', 'blue')","('-0.8', 'blue')","('-0.8', 'blue')","('-0.8', 'blue')","('-0.8', 'blue')","('-0.6', 'blue')","('-0.5', 'blue')","('-0.5', 'blue')","('-0.4', 'black')","('-0.3', 'black')","('-0.3', 'black')","('-0.4', 'black')"
1986,"('-0.5', 'black')","('-0.5', 'black')","('-0.3', 'black')","('-0.2', 'black')","('-0.1', 'black')","('0.0', 'black')","('0.2', 'black')","('0.4', 'black')","('0.7', 'red')","('0.9', 'red')","('1.1', 'red')","('1.2', 'red')"
1987,"('1.2', 'red')","('1.2', 'red')","('1.1', 'red')","('0.9', 'red')","('1.0', 'red')","('1.2', 'red')","('1.5', 'red')","('1.7', 'red')","('1.6', 'red')","('1.5', 'red')","('1.3', 'red')","('1.1', 'red')"
1988,"('0.8', 'red')","('0.5', 'red')","('0.1', 'black')","('-0.3', 'black')","('-0.9', 'blue')","('-1.3', 'blue')","('-1.3', 'blue')","('-1.1', 'blue')","('-1.2', 'blue')","('-1.5', 'blue')","('-1.8', 'blue')","('-1.8', 'blue')"
1989,"('-1.7', 'blue')","('-1.4', 'blue')","('-1.1', 'blue')","('-0.8', 'blue')","('-0.6', 'blue')","('-0.4', 'black')","('-0.3', 'black')","('-0.3', 'black')","('-0.2', 'black')","('-0.2', 'black')","('-0.2', 'black')","('-0.1', 'black')"
Year,"('DJF', 'black')","('JFM', 'black')","('FMA', 'black')","('MAM', 'black')","('AMJ', 'black')","('MJJ', 'black')","('JJA', 'black')","('JAS', 'black')","('ASO', 'black')","('SON', 'black')","('OND', 'black')","('NDJ', 'black')"
1990,"('0.1', 'black')","('0.2', 'black')","('0.3', 'black')","('0.3', 'black')","('0.3', 'black')","('0.3', 'black')","('0.3', 'black')","('0.4', 'black')","('0.4', 'black')","('0.3', 'black')","('0.4', 'black')","('0.4', 'black')"
1991,"('0.4', 'black')","('0.3', 'black')","('0.2', 'black')","('0.3', 'black')","('0.5', 'red')","('0.6', 'red')","('0.7', 'red')","('0.6', 'red')","('0.6', 'red')","('0.8', 'red')","('1.2', 'red')","('1.5', 'red')"
1992,"('1.7', 'red')","('1.6', 'red')","('1.5', 'red')","('1.3', 'red')","('1.1', 'red')","('0.7', 'red')","('0.4', 'black')","('0.1', 'black')","('-0.1', 'black')","('-0.2', 'black')","('-0.3', 'black')","('-0.1', 'black')"
1993,"('0.1', 'black')","('0.3', 'black')","('0.5', 'black')","('0.7', 'black')","('0.7', 'black')","('0.6', 'black')","('0.3', 'black')","('0.3', 'black')","('0.2', 'black')","('0.1', 'black')","('0.0', 'black')","('0.1', 'black')"
1994,"('0.1', 'black')","('0.1', 'black')","('0.2', 'black')","('0.3', 'black')","('0.4', 'black')","('0.4', 'black')","('0.4', 'black')","('0.4', 'black')","('0.6', 'red')","('0.7', 'red')","('1.0', 'red')","('1.1', 'red')"
1995,"('1.0', 'red')","('0.7', 'red')","('0.5', 'red')","('0.3', 'black')","('0.1', 'black')","('0.0', 'black')","('-0.2', 'black')","('-0.5', 'blue')","('-0.8', 'blue')","('-1.0', 'blue')","('-1.0', 'blue')","('-1.0', 'blue')"
1996,"('-0.9', 'blue')","('-0.8', 'blue')","('-0.6', 'blue')","('-0.4', 'black')","('-0.3', 'black')","('-0.3', 'black')","('-0.3', 'black')","('-0.3', 'black')","('-0.4', 'black')","('-0.4', 'black')","('-0.4', 'black')","('-0.5', 'black')"
1997,"('-0.5', 'black')","('-0.4', 'black')","('-0.1', 'black')","('0.3', 'black')","('0.8', 'red')","('1.2', 'red')","('1.6', 'red')","('1.9', 'red')","('2.1', 'red')","('2.3', 'red')","('2.4', 'red')","('2.4', 'red')"
1998,"('2.2', 'red')","('1.9', 'red')","('1.4', 'red')","('1.0', 'red')","('0.5', 'red')","('-0.1', 'black')","('-0.8', 'blue')","('-1.1', 'blue')","('-1.3', 'blue')","('-1.4', 'blue')","('-1.5', 'blue')","('-1.6', 'blue')"
1999,"('-1.5', 'blue')","('-1.3', 'blue')","('-1.1', 'blue')","('-1.0', 'blue')","('-1.0', 'blue')","('-1.0', 'blue')","('-1.1', 'blue')","('-1.1', 'blue')","('-1.2', 'blue')","('-1.3', 'blue')","('-1.5', 'blue')","('-1.7', 'blue')"
Year,"('DJF', 'black')","('JFM', 'black')","('FMA', 'black')","('MAM', 'black')","('AMJ', 'black')","('MJJ', 'black')","('JJA', 'black')","('JAS', 'black')","('ASO', 'black')","('SON', 'black')","('OND', 'black')","('NDJ', 'black')"
2000,"('-1.7', 'blue')","('-1.4', 'blue')","('-1.1', 'blue')","('-0.8', 'blue')","('-0.7', 'blue')","('-0.6', 'blue')","('-0.6', 'blue')","('-0.5', 'blue')","('-0.5', 'blue')","('-0.6', 'blue')","('-0.7', 'blue')","('-0.7', 'blue')"
2001,"('-0.7', 'blue')","('-0.5', 'blue')","('-0.4', 'black')","('-0.3', 'black')","('-0.3', 'black')","('-0.1', 'black')","('-0.1', 'black')","('-0.1', 'black')","('-0.2', 'black')","('-0.3', 'black')","('-0.3', 'black')","('-0.3', 'black')"
2002,"('-0.1', 'black')","('0.0', 'black')","('0.1', 'black')","('0.2', 'black')","('0.4', 'black')","('0.7', 'red')","('0.8', 'red')","('0.9', 'red')","('1.0', 'red')","('1.2', 'red')","('1.3', 'red')","('1.1', 'red')"
2003,"('0.9', 'red')","('0.6', 'red')","('0.4', 'black')","('0.0', 'black')","('-0.3', 'black')","('-0.2', 'black')","('0.1', 'black')","('0.2', 'black')","('0.3', 'black')","('0.3', 'black')","('0.4', 'black')","('0.4', 'black')"
